PUBLIC_NAM,Rec_count,Education_count,Facility_count,Maintenance_count,Aesthetic_count,Collisions_2011_2014,Incidents_2011_200m,Incidents_norm,sqm,violent_crimes_total,violent_crimes_sqm,narcotic_crimes,narcotic_crimes_sq_m,water_perc,tree_perc,grass_perc,built_perc,t_safety,t_recreation,t_amenities,t_landscape,t_accessibility,t_condition,t_size,t_aesthetic
Solomon Sacks Playground,5,0,0,1,0,44,76,339.7160707,15129.25094,134,0.008857015,47,0.003106565,0,0.04526016,0.519175473,0.435564367,0.010497402,0.7863229,0.885064949,-0.298047652,-0.193099151,0.627329262,-0.009446467,-0.385921776
Victor J Moss Memorial Field,5,0,0,0,0,43,126,563.2251708,14950.78037,279,0.018661233,146,0.009765377,0,0.029904134,0.577551975,0.39254389,0.437660332,0.193587312,0.806103104,-0.209145748,-0.235381122,0.434588238,0.04336249,-0.249453501
Daniel E Rumph II Recreation Center,4,0,0,0,0,12,43,192.7427213,14884.99566,125,0.008397718,40,0.00268727,0,0.103383765,0.557402073,0.339214162,0.121965948,0.300848059,0.338389311,-0.16717591,-0.212362126,0.278121388,-0.181538213,-0.042787302
Dorothy Emanuel Recreation Center,5,0,0,0,0,7,40,186.6134461,14886.76944,86,0.005776942,18,0.001209127,0,0.079511984,0.43749273,0.482995286,0.341081494,0.341866225,0.341750457,-0.333978352,-0.296291529,0.179577496,-0.007282604,-0.423933365
Francisville Recreation Center,6,0,0,0,0,25,122,547.0021016,14898.85677,149,0.010000767,89,0.005973613,8.37E-05,0.17694264,0.327132569,0.495841102,-0.056289286,0.355888039,0.934549092,-0.248272174,0.173282614,-0.01661411,-0.086884579,-0.242486365
Joseph Deni Recreation Center,3,0,0,0,0,5,87,387.3441165,14249.47685,205,0.014386493,71,0.004982639,0,0.087976197,0.453075472,0.458948331,0.198224961,0.317989129,1.136536162,-0.320678328,-0.224129944,0.463011339,-0.074036403,-0.142426179
James Allen Shuler Playground,5,0,0,0,0,26,68,317.1225343,12108.20245,223,0.018417267,114,0.009415105,0,0.201556109,0.441494322,0.356949569,0.60295906,0.215692816,0.363970067,-0.030059657,-0.241894217,0.008520501,-0.029362443,-0.41546006
Marian Anderson Recreation Center,7,0,0,0,0,32,141,645.7196427,13601.10582,112,0.008234625,38,0.00279389,0.001910234,0.18878718,0.202255605,0.607046982,0.247171369,1.094570194,0.341346936,-0.248743852,-0.050694122,0.328352875,-0.209126022,-0.207303019
Disston Recreation Center,5,0,0,0,0,14,78,357.2298436,13478.93111,118,0.008754403,57,0.004228822,0,0.30127454,0.379227053,0.319498407,-0.027801085,0.958865833,1.371931743,-0.111431555,-0.282570228,0.304681446,0.057908312,-0.37198126
Feltonville Recreation Center,6,0,0,0,0,28,145,651.688908,13271.24318,265,0.019967986,115,0.008665352,0,0.136803754,0.274035525,0.589160721,0.663975794,0.106772726,0.287288617,-0.173322937,-0.185156528,0.336683097,-0.117943997,-0.316881708
Walter Palumbo Recreation Center,4,0,0,0,0,22,202,932.6066302,13035.04893,94,0.007211327,34,0.002608352,0.005973417,0.109466591,0.396530741,0.488029251,-0.127292023,1.004970226,1.119622319,-0.305496485,-0.075243511,-0.01691191,0.125977652,-0.293321404
Albert W Christy Sr Recreation Center,6,0,0,0,0,42,132,595.0503911,12767.46026,380,0.029763163,180,0.01409834,0,0.093304395,0.340678242,0.566017363,0.408071568,0.495201264,0.356819151,-0.216274518,-0.233483941,0.527455828,-0.173065407,-0.287991404
Jefferson Square,0,0,0,0,0,51,65,300.401625,12659.31578,115,0.009084219,27,0.002132817,0,0.70970937,0.06544782,0.22484281,0.068060808,0.077992231,0.068615149,0.104164446,-0.046681129,0.072225807,-0.069767517,-0.056734597
William A Cibotti Recreation Center,4,0,0,0,0,3,16,90.85548122,12351.43917,47,0.003805225,9,0.00072866,0,0.174831607,0.459582845,0.365585548,0.17693116,1.1377572,0.464446246,-0.409988638,-0.172404416,-0.16188388,-0.407236858,-0.592957942
Northwood Park,0,0,0,0,0,30,55,254.6589517,12124.95418,83,0.006845387,18,0.001484542,0,0.643663517,0.288955289,0.067381195,0.16967782,0.839145099,0.197679977,-0.280158145,-0.108551744,0.62844582,-0.355547991,-0.586631848
Pleasant Hill Park,2,0,1,2,0,10,27,40.49534419,186187.4801,27,0.000145015,12,6.44512E-05,0.219444473,0.328186179,0.258612902,0.193756446,0.037298224,0.029441955,0.246198961,0.483840277,-0.071138088,0.164753114,-0.125106211,0.168009398
Robert T Heitzman Recreation Center,6,0,0,0,0,44,100,467.1208838,11766.80258,206,0.01750688,37,0.00314444,0,0.06285139,0.400698218,0.536450392,0.590438043,0.377525805,0.526309837,-0.191338088,-0.240819963,0.460919721,-0.170417574,-0.346627437
Fairhill Square,1,0,1,0,0,70,193,884.5676526,11584.02975,381,0.032890109,415,0.035825184,0,0.668468738,0.112304518,0.219226744,-0.183046101,-0.238556318,-0.692731187,-0.264474166,-0.315330275,0.91792413,-0.204092687,1.016523358
Wister Playground,4,0,0,0,0,16,71,330.2675408,11550.67351,135,0.01168763,98,0.008484354,0.005529501,0.230002039,0.516684459,0.247784002,0.345944658,0.574128568,0.976472989,-0.277887198,-0.187589682,0.397809509,0.293227111,-0.387495765
Charles H Chew Jr Playground,5,0,0,0,1,26,158,744.1294571,11325.35608,154,0.013597806,150,0.013244617,0.000819627,0.131678584,0.357571457,0.509930332,0.233558084,0.306792007,1.087929112,-0.089224828,-0.121070619,0.184410883,-0.041551829,-0.275570825
Campbell Square,0,0,0,0,0,27,117,563.4429304,10577.02513,98,0.009265365,26,0.002458158,0,0.587617725,0.123135061,0.289247213,0.030376701,0.15500933,0.020806008,-0.164123815,-0.174341108,0.646942424,-0.210151618,0.052087201
Mill Creek Playground and Recreation Center,5,0,0,0,0,22,60,289.2116775,10632.36858,196,0.018434274,70,0.006583669,0,0.231354613,0.341549227,0.42709616,0.694258172,0.081654372,0.650140937,-0.198984047,-0.299201709,0.230109944,0.036647547,-0.23261565
Morton Playground,3,0,0,0,0,15,78,370.689292,10534.01818,222,0.021074579,198,0.018796246,0,0.353973223,0.425881842,0.220144935,2.009454273,0.706116283,0.313684811,0.202981459,-0.221276061,0.48172565,-0.430400923,-0.217257893
Woodside Park,4,0,1,0,0,7,23,105.2073943,10601.713,29,0.002735407,7,0.000660271,0,0.163964635,0.588964472,0.247070893,-0.081506027,0.899212544,1.140463583,-0.29950569,-0.323868325,0.515289711,-0.1244323,0.215641575
Miles Mack Playground,4,0,0,0,0,5,54,261.7005776,10257.12348,167,0.016281368,83,0.008091937,0,0.035188199,0.479464545,0.485347256,-0.094658761,0.157512328,1.082298482,-0.411679963,-0.489542037,0.570125153,-0.269409215,0.203238892
Cloverly Park,1,0,0,0,0,16,73,352.7550498,10296.39547,58,0.005633039,4,0.000388485,0,0.764468036,0.176320995,0.059210969,0.183293734,0.008246339,0.497458696,0.161074591,-0.206871537,0.174267225,-0.06173343,0.164849163
Roberto Clemente Playground,4,0,1,0,0,23,179,858.5024736,10290.18677,139,0.013508015,93,0.009037737,0,0.140757646,0.376749541,0.482492813,0.282019236,0.207609726,0.904830176,-0.286030429,-0.076196625,0.705675313,0.057398886,-0.095421488
Matthias Baldwin Park,0,0,0,0,0,38,106,519.4065362,8709.121791,42,0.00482253,60,0.006889328,0,0.445902944,0.178719173,0.375377884,0.138035673,0.260971221,0.050790641,0.571238171,-0.183630342,0.364425583,-0.02570179,0.706721416
Conestoga Community Playground,5,0,0,0,0,66,125,560.2970426,9941.165009,359,0.036112468,229,0.02303553,0,0.105383088,0.509975262,0.38464165,-0.015338618,-0.167954953,-0.073988169,-0.267420467,-0.39000752,0.175203562,-0.249588975,-0.402271374
Bernard Samuel Playground,5,0,0,0,0,31,81,397.6003375,9845.476842,45,0.004570627,13,0.001320403,0,0.104445476,0.346075907,0.549478617,0.182911085,0.21096081,0.853030597,-0.491723042,0.050375972,0.361974918,-0.06812964,-0.226213332
Frank JG Dorsey Memorial Playground,4,0,0,0,0,17,113,531.4851529,9780.440281,193,0.019733263,75,0.007668366,0,0.076874044,0.528967647,0.394158309,-0.071381515,0.384378197,0.854244444,0.043772182,-0.233809046,0.414701086,0.525910926,-0.156766862
John F Kennedy Plaza (LOVE Park),0,0,1,0,1,107,362,1773.176477,9769.48709,471,0.048211333,935,0.09570615,0.028302957,0.342429615,0.013197646,0.616069782,-0.00982055,-0.159874341,0.014911737,-0.207340888,-0.129829176,-0.165334051,-0.073440752,0.069298683
12th and Cambria Playground,5,0,0,0,0,37,77,374.255757,9459.064115,317,0.033512829,285,0.030129831,0,0.138608568,0.457297693,0.404093739,0.616043224,0.091348913,0.381824205,-0.193546018,-0.220293813,0.11921536,-0.272789295,-0.186625351
Starr Garden Playground,4,0,0,0,0,55,193,948.8289955,8768.931064,119,0.013570639,56,0.006386183,0,0.616015357,0.217487815,0.166496828,0.435417054,0.321850916,0.675285701,-0.220112131,0.023065193,0.422588267,0.003286891,-0.30503292
Thomas I Guerin Recreation Center,4,0,0,0,0,42,102,503.175381,8283.233604,130,0.015694354,133,0.016056531,0,0.009826222,0.006706919,0.983466858,0.129955777,0.28243646,0.362810411,-0.119291907,-0.128542341,0.269520874,-0.247655852,-0.252269345
